query,topIntent
résultats pour Luc Barthassat,IntentResultatParCandidat
quel sont les résultats de Nidegger,IntentResultatParCandidat
quel est le score de Yves Nidegger,IntentResultatParCandidat
Résultat des élections,IntentResultatElections
quels conseillers d'état sont élus ?,IntentResultatElections
résultats grand conseil,IntentResultatElections
résultats conseil d'état,IntentResultatElections
résultat élection,IntentResultatElections
Donne moi le résultat des élections,IntentResultatElections
quels députés ont été élus ?,IntentResultatElections
Résultats de l'élection du conseil d'état,IntentResultatElections
je veux les résutats,IntentResultatElections
Résultats,IntentResultatElections
résultats,IntentResultatElections
quels sont les résultats du mcg,IntentResultatElections
Résultat,IntentResultatElections
résultats des élections,IntentResultatElections
c'est quoi les résultats ?,IntentResultatElections
Menu,IntentMenu
menu,IntentMenu
MENU,IntentMenu
"il s'est passé quoi ? ",IntentInformationsGenerales
"C'est quoi l'élection ? ",IntentInformationsGenerales
combien de personnes ont voté à Anieres pour l'élection du grand conseil ?,IntentTauxParticipationParLocal
taux de participation pour chene bougeries centre,IntentTauxParticipationParLocal
quelle était la participation à Anieres,IntentTauxParticipationParLocal
Quel était le taux de participation pour chêne bougeries centre pour l'élection du conseil d'état ?,IntentTauxParticipationParLocal
taux de participation pour 1-1,IntentTauxParticipationParLocal
Quel est le taux de participation pour Chêne Bougeries centre ?,IntentTauxParticipationParLocal
combien de personnes ont voté à anieres,IntentTauxParticipationParLocal
"Tu connais une blague ? ",IntentJoke
fais moi rigoler,IntentJoke
Raconte moi une blague,IntentJoke
